naam,land,plaats,categorie,functie,type,bouwjaar,lon,lat
De Rozeboom,Nederland,Krabbendijke,windmolen,korenmolen,ronde stenen grondzeiler,1862,4.1121385,51.4308295
Oostmolen,Nederland,Kloetinge,windmolen,korenmolen,ronde stenen stellingmolen,1704,3.9124103,51.4983177
De Koornbloem,Nederland,Goes,windmolen,korenmolen,ronde stenen stellingmolen,1801,3.8911304,51.5046455
Nooit Gedacht,Nederland,Eindewege/'s-Heer Arendskerke,windmolen,korenmolen,ronde stenen stellingmolen,1872,3.8178889,51.4981193
De Koning,Nederland,Middelburg,windmolen,korenmolen,ronde stenen stellingmolen,1882,3.610998,51.4987962
Ons Genoegen,Nederland,Middelburg,windmolen,korenmolen,ronde stenen stellingmolen,1847,3.610998,51.4987962
De Pere,Nederland,Oost-Souburg,windmolen,korenmolen,ronde stenen stellingmolen,1725,3.6055656,51.467957
Molen van Risseeuw,Nederland,Breskens,windmolen,korenmolen,ronde stenen stellingmolen,1858,3.5558783,51.3945258
Molen van Nieuwvliet,Nederland,Nieuwvliet,windmolen,korenmolen,ronde stenen grondzeiler,1850,3.4733429,51.3719096
Nooitgedacht (vh. De Kat),Nederland,Cadzand,windmolen,korenmolen,ronde stenen beltmolen,1898,3.4077694,51.3692317
Molen van Aalbrechtse,Nederland,Cadzand,windmolen,korenmolen,ronde stenen grondzeiler,1848,3.4077694,51.3692317
De Meermin,Nederland,Terhofstede / Retranchement,windmolen,korenmolen,ronde stenen stellingmolen,1896,3.3903062,51.339478
De Brak,Nederland,Sluis,windmolen,korenmolen,ronde stenen stellingmolen,1739,3.4876046,51.3253599
De Prinsenmolen,Nederland,Rotterdam ( Hillegersberg ),windmolen,poldermolen,8-kante grondzeiler,1648,4.4898828,51.9520451
De Valk,Nederland,Berkel en Rodenrijs,windmolen,poldermolen,8-kante grondzeiler,1772,4.4733282,51.9913733
De Prins van Oranje,Nederland,Buren,windmolen,korenmolen,ronde stenen stellingmolen,1716,5.3340584,51.9103889
De Vijfhuizer Molen,Nederland,Haarlem,windmolen,poldermolen,8-kante grondzeiler,1874,4.6462194,52.3873878
De Geregtigheid,Nederland,Katwijk aan den Rijn,windmolen,korenmolen,ronde stenen stellingmolen,1740,4.4191012,52.1944896
Kikkermolen,Nederland,Leiden,windmolen,poldermolen,wipmolen,1752,4.4970097000000004,52.1601144
Boterhuismolen,Nederland,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,1744,4.4992001,52.1942139
Zwanburgermolen,Nederland,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,1805,4.4992001,52.1942139
Lijkermolen No.1.,Nederland,Rijpwetering,windmolen,poldermolen,12-kante stenen grondzeiler,1780,4.5823688,52.193109
Lijkermolen No.2.,Nederland,Rijpwetering,windmolen,poldermolen,12-kante stenen grondzeiler,1780,4.5823688,52.193109
De Kok,Nederland,Warmond,windmolen,poldermolen,ronde stenen grondzeiler,1809,4.4992001,52.1942139
Waterloosmolen,Nederland,Rijpwetering,windmolen,poldermolen,8-kante grondzeiler,1857,4.5823688,52.193109
Akkerslootmolen,Nederland,Rijpwetering / Oud Ade,windmolen,poldermolen,8-kante grondzeiler,1793,4.5823688,52.193109
Rode Molen,Nederland,Oud Ade,windmolen,poldermolen,wipmolen,1632,4.5664685,52.1916423
Hoogmadesche Molen of De Heerlijkheidsmolen,Nederland,Hoogmade,windmolen,poldermolen,wipmolen,1897,4.5828795,52.1688532
Werklust,Nederland,Oene,windmolen,korenmolen,8-kante stellingmolen,1858,6.0473687,52.3441039
Mölle van Bats,Nederland,Veessen,windmolen,korenmolen,8-kante stellingmolen,1779,6.0893526,52.3773778
De Vlijt,Nederland,Marle,windmolen,korenmolen,8-kante stellingmolen,1887,6.1260936,52.4132581
Molen Volkers,Nederland,Wapenveld,windmolen,korenmolen,8-kante beltmolen,1857,6.0725982,52.4299172
De Fortuin,Nederland,Hattem,windmolen,korenmolen,8-kante stellingmolen,1816,6.0681758,52.4739306
De Passiebloem,Nederland,Zwolle,windmolen,oliemolen,8-kante stellingmolen,1776,6.0830219,52.5167747
Westermolen,Nederland,Dalfsen,windmolen,korenmolen,8-kante stellingmolen,1818,6.259667,52.507755
De Vilsterse Molen,Nederland,Vilsteren,windmolen,korenmolen,8-kante stellingmolen,1858,6.3520644,52.5109849
Molen van Massier,Nederland,Nieuwleusen,windmolen,korenmolen,8-kante stellingmolen,1861,6.2855194,52.5845594
Molen van Fakkert,Nederland,Hoonhorst,windmolen,korenmolen,8-kante stellingmolen,1868,6.2293497,52.4844084
Jonge Gerrit,Nederland,Wijhe,windmolen,korenmolen,8-kante stellingmolen,1851,6.1350152,52.387959
De Wijhese Molen,Nederland,Wijhe,windmolen,korenmolen,8-kante stellingmolen,1703,6.1350152,52.387959
De Bökkers Mölle,Nederland,Olst,windmolen,korenmolen,8-kante stellingmolen,1729,6.1141253,52.3377894
Houdt Braef Stant,Nederland,Welsum,windmolen,korenmolen,8-kante stellingmolen,1856,6.0901814,52.3361006
Fleur,Nederland,Zevenbergen,windmolen,korenmolen,ronde stenen stellingmolen,1841,4.6075226,51.6460635
d' Orangemolen,Nederland,Willemstad,windmolen,korenmolen,ronde stenen stellingmolen,1734,4.4379073,51.6919469
Oude Molen,Nederland,Oudemolen/Fijnaart,windmolen,korenmolen,ronde stenen stellingmolen,1846,4.4590927,51.6648557
De Vos,Nederland,Heensche Molen,windmolen,korenmolen,ronde stenen grondzeiler,1714,4.247103,51.6027097
De Assumburg,Nederland,Nieuw-Vossemeer,windmolen,korenmolen,8-kante stellingmolen,1897,4.2179697,51.5896321
De Jager,Nederland,Oud-Vossemeer (Tholen),windmolen,korenmolen,ronde stenen stellingmolen,1850,4.198129,51.5705615
De Vier Winden,Nederland,Sint Annaland,windmolen,korenmolen,ronde stenen stellingmolen,1847,4.1033185,51.5998713
Molen van Stavenisse,Nederland,Stavenisse,windmolen,korenmolen,ronde stenen grondzeiler,1801,4.0122135,51.5861025
Den Haas,Nederland,Zierikzee,windmolen,korenmolen,ronde stenen stellingmolen,1727,3.9184977,51.6501218
Aeolus (vh. De Koekoek),Nederland,Dreischor,windmolen,korenmolen,ronde stenen grondzeiler,1739,3.9831787,51.689295
Molen van Nieuwerkerk,Nederland,Nieuwerkerk,windmolen,korenmolen,ronde stenen grondzeiler,1844,4.0004631,51.6496411
Oosterland,Nederland,Oosterland,windmolen,korenmolen,ronde stenen grondzeiler,1752,4.0375444,51.6501195
De Dankbaarheid,Nederland,Herkingen,windmolen,korenmolen,ronde stenen grondzeiler,1841,4.0879282,51.7102808
De Eendracht,Nederland,Dirksland,windmolen,korenmolen,ronde stenen stellingmolen,1846,4.0920971,51.7506355
De Korenbloem,Nederland,Sommelsdijk,windmolen,korenmolen,ronde stenen stellingmolen,1705,4.1492498,51.7510552
De Korenaar,Nederland,Stad aan 't Haringvliet,windmolen,korenmolen,ronde stenen grondzeiler,1746,4.2412443,51.7385339
De Bommelaer,Nederland,Den Bommel,windmolen,korenmolen,ronde stenen grondzeiler,1735,4.2788658999999996,51.7152812
Windlust,Nederland,Achthuizen,windmolen,korenmolen,ronde stenen stellingmolen,1852,4.280891,51.6874623
De Korenbloem,Nederland,Oude-Tonge,windmolen,korenmolen,ronde stenen grondzeiler,1748,4.2126832,51.6909767
d 'Oranjeboom,Nederland,Nieuwe-Tonge,windmolen,korenmolen,ronde stenen grondzeiler,1768,4.1648577,51.7137696
De Zwaan,Nederland,Ouddorp,windmolen,korenmolen,ronde stenen stellingmolen,1846,3.9352037,51.8090723
De Windvang,Nederland,Goedereede,windmolen,korenmolen,ronde stenen grondzeiler,1791,3.9773845,51.8180728
Korenlust,Nederland,Stellendam,windmolen,korenmolen,ronde stenen stellingmolen,1856,4.0244063,51.806187
Zeezicht,Nederland,Nieuwenhoorn (Hellevoetsluis),windmolen,korenmolen,ronde stenen grondzeiler,1717,4.13181,51.8318632
Molen van Rockanje,Nederland,Rockanje,windmolen,korenmolen,ronde stenen grondzeiler,1718,4.0683056,51.8719333
Molen van Oostvoorne,Nederland,Oostvoorne,windmolen,korenmolen,ronde stenen grondzeiler,1821,4.0946488,51.9113563
De Bernisse Molen,Nederland,Geervliet,windmolen,korenmolen,ronde stenen stellingmolen,1851,4.2608302,51.8613451
De Vier Winden,Nederland,Rotterdam-Terbregge,windmolen,korenmolen,ronde stenen stellingmolen,1776,4.5249927,51.9520344
Standerdmolen Rosmalen,Nederland,Rosmalen,windmolen,korenmolen,standerdmolen (gesloten),1732,5.3608099,51.7171488
Windlust,Nederland,Vorstenbosch,windmolen,korenmolen,ronde stenen beltmolen,1860,5.5510569,51.6534974
Molen van Jetten,Nederland,Uden,windmolen,korenmolen,standerdmolen (gesloten),1811,5.6239227,51.6631071
Molen van Boekel,Nederland,Boekel,windmolen,korenmolen,standerdmolen (gesloten),1703,5.6743158,51.6028789
Molen Baas,Nederland,Zevenaar,windmolen,korenmolen,beltmolen,1885,6.0769590000000004,51.9294445
De Heimolen,Nederland,Sint Hubert,windmolen,korenmolen,ronde stenen beltmolen,1878,5.8098778,51.6781424
Luctor et Emergo,Nederland,Rijkevoort,windmolen,korenmolen,ronde stenen stellingmolen,1901,5.8851558,51.6577927
De Korenbloem,Nederland,Oploo,windmolen,korenmolen,standerdmolen (gesloten),1800,5.8751423,51.6083434
Watermolen van Oploo,Nederland,Oploo,watermolen,korenmolen,watergedreven molen met onderslagrad,1725,5.8751423,51.6083434
Nooit Gedacht,Nederland,Merselo,windmolen,korenmolen,ronde stenen beltmolen,1867,5.9283115,51.5297637
Sint Petrus of Gitzelsmolen,Nederland,Venray,windmolen,korenmolen,ronde stenen beltmolen,1856,5.9736992,51.5256257
Martinus,Nederland,Beugen,windmolen,korenmolen,ronde stenen beltmolen,1866,5.9373811,51.6729024
Maria Molen,Nederland,Haps,windmolen,korenmolen,6-kante beltmolen,1812,5.8625696,51.6896523
De Korenbloem,Nederland,Mill,windmolen,korenmolen,ronde stenen beltmolen,1857,5.7845872,51.6877193
Coppens Molen,Nederland,Zeeland,windmolen,korenmolen,ronde stenen beltmolen,1883,3.8496815,51.4940309
De Dageraad (vh. Van Aarssens Molen),Nederland,Zeeland,windmolen,korenmolen,ronde stenen beltmolen,1832,3.8496815,51.4940309
De Lelie,Nederland,Puttershoek,windmolen,korenmolen,ronde stenen grondzeiler,1836,4.5664734,51.8053785
De Hoop (in restauratie),Nederland,Maasdam,windmolen,korenmolen,8-kante stellingmolen,1822,4.5566676,51.7876295
Molen van de Antonypolder / Polders(ch)e Molen,Nederland,Maasdam,windmolen,poldermolen,ronde stenen grondzeiler,1749,4.5566676,51.7876295
Oostmolen,Nederland,Mijnsheerenland / Blaaksedijk,windmolen,poldermolen,wipmolen,1616,4.4852016,51.7968546
De Goede Hoop,Nederland,Mijnsheerenland,windmolen,korenmolen,ronde stenen grondzeiler,1749,4.4852016,51.7968546
Windlust,Nederland,Westmaas,windmolen,korenmolen,ronde stenen stellingmolen,1853,4.475239,51.7869707
Landzicht of Landzigt,Nederland,Numansdorp,windmolen,korenmolen,ronde stenen stellingmolen,1856,4.4382137,51.734768
De Korenbloem,Nederland,Ulvenhout,windmolen,korenmolen,ronde stenen beltmolen,1909,4.7986165,51.5482324
Kerkhovense Molen / Onvermoeid,Nederland,Oisterwijk,windmolen,korenmolen,ronde stenen stellingmolen,1895,5.2030282,51.5654243
De Beijenkorf (vh. De Hoop),Nederland,Maurik,windmolen,korenmolen,ronde stenen stellingmolen,1873,5.421033,51.9617905
Molen van Dreumel,Nederland,Dreumel,windmolen,korenmolen,ronde stenen stellingmolen,1845,5.4292507,51.8505405
Zeldenrust,Nederland,Lith,windmolen,korenmolen,ronde stenen beltmolen,1800,5.4399971,51.8065563
Tot Voordeel en Genoegen,Nederland,Alphen,windmolen,korenmolen,standerdmolen (gesloten),1798,4.9533065,51.4823836
Vento Vivimus,Nederland,Hurwenen,windmolen,korenmolen,ronde stenen beltmolen,1875,5.3139749,51.8114711
Lana Mariana,Nederland,Harskamp,windmolen,korenmolen,ronde stenen beltmolen,1739,5.7495057,52.1348693
De Kroon of Klarendalse Molen,Nederland,Arnhem,windmolen,korenmolen,ronde stenen stellingmolen,1870,5.8987296,51.9851034
't Wissel,Nederland,Elst,windmolen,korenmolen,ronde stenen grondzeiler,1855,5.8473619,51.9192887
Zijllaanmolen,Nederland,Leiderdorp,windmolen,poldermolen,8-kante grondzeiler,1850,4.5281733,52.1509854
Doeshofmolen,Nederland,Leiderdorp,windmolen,poldermolen,8-kante grondzeiler,1830,4.5281733,52.1509854
Achthovense Molen,Nederland,Leiderdorp,windmolen,poldermolen,wipmolen,1893,4.5281733,52.1509854
De Grosmolen,Nederland,Hoogmade,windmolen,poldermolen,wipmolen,1640,4.5828795,52.1688532
Vlietmolen,Nederland,Hoogmade,windmolen,poldermolen,wipmolen,1913,4.5828795,52.1688532
De Zilster Molen,Nederland,Veldhoven-Zeelst,windmolen,korenmolen,ronde stenen beltmolen,1858,5.4118703,51.424359
De Adriaan,Nederland,Veldhoven-Meerveldhoven,windmolen,korenmolen,ronde stenen beltmolen,1906,5.4168601,51.4176943
De Grenswachter,Nederland,Luyksgestel,windmolen,korenmolen,ronde stenen beltmolen,1891,5.3258872,51.2893698
De Deen,Nederland,Luyksgestel,windmolen,korenmolen,ronde stenen beltmolen,1839,5.3258872,51.2893698
Stevertse Molen,Nederland,Steensel/Stevert,watermolen,korenmolen,watergedreven molen met onderslagrad,1928,5.3615516,51.3703944
De Doornboom,Nederland,Hilvarenbeek,windmolen,koren- eekmolen,ronde stenen beltmolen,1856,5.1384062,51.4856827
Standerdmolen Moergestel,Nederland,Moergestel,windmolen,korenmolen,standerdmolen (gesloten),1852,5.1709311,51.5462872
De Tiendwegse Molen,Nederland,Hardinxveld-Giessendam,windmolen,poldermolen,wipmolen,1906,4.8336405,51.8324299
"Bovenkerkse Molen, polder Giessen-Oudebovenkerk",Nederland,Giessenburg,windmolen,poldermolen,ronde stenen grondzeiler,1865,4.8906273,51.8503556
De Kerkmolen,Nederland,Molenaarsgraaf,windmolen,poldermolen,ronde stenen grondzeiler,1844,4.8287892,51.8776962
Nieuw Leven,Nederland,Wogmeer / Hensbroek,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1608,4.9189243,52.6543613
Molen D,Nederland,Schagerbrug,windmolen,poldermolen,8-kante grondzeiler binnenkruier,1840,4.7558219,52.8015307
Molen P,Nederland,Oudesluis,windmolen,poldermolen,8-kante grondzeiler,1895,4.8090952,52.834414
Jan van Arkel,Nederland,Arkel,windmolen,korenmolen,8-kante stellingmolen,1851,4.9974993,51.8657393
De Vriendschap,Nederland,Bleskensgraaf,windmolen,korenmolen,ronde stenen stellingmolen,1890,4.7842567,51.8724414
De Wingerdse Molen,Nederland,Bleskensgraaf,windmolen,poldermolen,wipmolen,1513,4.7842567,51.8724414
De Peilmolen,Nederland,Oud-Alblas,windmolen,poldermolen,ronde stenen grondzeiler,1818,4.7034111,51.8569169
Kooijwijkse Molen of Kooiwijkse Molen,Nederland,Oud-Alblas,windmolen,poldermolen,ronde stenen grondzeiler,1866,4.7034111,51.8569169
Souburgse molen,Nederland,Alblasserdam,windmolen,poldermolen,ronde stenen grondzeiler,1860,4.6702024,51.8703366
De Haag,Nederland,Beuningen,windmolen,korenmolen,standerdmolen (gesloten),1704,5.7691067,51.8597237
Molen van Linden,Nederland,Linden / Katwijk aan de Maas,windmolen,korenmolen,8-kante stellingmolen,1869,5.8710693,51.7500836
De Hellemolen,Nederland,Reek,windmolen,korenmolen,ronde stenen beltmolen,1832,5.6829659,51.7449838
Nooit Gedacht / Molen van Klein Gaal,Nederland,Schaijk - Gaal,windmolen,korenmolen,ronde stenen grondzeiler,1858,5.6297284,51.7484858
De Onderneming,Nederland,Schaijk,windmolen,korenmolen,ronde stenen beltmolen,1888,5.6297284,51.7484858
Anna,Nederland,Berghem,windmolen,korenmolen,ronde stenen stellingmolen,1875,5.5684345,51.7709329
Nieuw Leven,Nederland,Oss,windmolen,korenmolen,ronde stenen stellingmolen,1895,5.5140482,51.7611801
Zeldenrust (vh. De Zwaluw),Nederland,Oss,windmolen,korenmolen,ronde stenen stellingmolen,1860,5.5140482,51.7611801
Molen De Moer / Emilliapolder,Nederland,Hooge Zwaluwe,windmolen,poldermolen,ronde stenen grondzeiler,1911,4.7426213,51.6883234
Zeldenrust,Nederland,Hooge Zwaluwe,windmolen,korenmolen,ronde stenen stellingmolen,1866,4.7426213,51.6883234
De Arend,Nederland,Terheijden,windmolen,korenmolen,ronde stenen stellingmolen,1742,4.7512386,51.6443817
Zandeind,Nederland,Riel,windmolen,korenmolen,ronde stenen beltmolen,1837,5.0252716,51.5259901
De Wilde,Nederland,Goirle,windmolen,korenmolen,ronde stenen beltmolen,1898,5.0641948,51.5236773
De Visscher,Nederland,Goirle,windmolen,korenmolen,ronde stenen beltmolen,1876,5.0641948,51.5236773
De Roosdonck,Nederland,Nuenen,windmolen,korenmolen,ronde stenen beltmolen,1884,5.5555718,51.4687116
't Nupke,Nederland,Geldrop,windmolen,korenmolen,ronde stenen beltmolen,1843,5.5571356,51.4228919
Annemie,Nederland,Acht/Eindhoven,windmolen,korenmolen,ronde stenen beltmolen,1891,5.4238586,51.4818459
De Volharding,Nederland,Best,windmolen,korenmolen,ronde stenen stellingmolen,1850,5.3978482,51.5077637
De Korenaar,Nederland,Oirschot,windmolen,korenmolen,ronde stenen stellingmolen,1857,5.3084625,51.5044479
Molen Himbergen,Nederland,Middelbeers,windmolen,korenmolen,ronde stenen beltmolen,1884,5.2507928,51.4677807
De Bouwing,Nederland,Geldermalsen,windmolen,korenmolen,ronde stenen beltmolen,1848,5.2910872,51.8820038
Poldermolen,Nederland,Geldermalsen,windmolen,poldermolen,8-kante grondzeiler,1772,5.2910872,51.8820038
Emma,Nederland,Nieuwkuijk,windmolen,korenmolen,ronde stenen stellingmolen,1886,5.1780672,51.6903595
De Leijen,Nederland,Staphorst,windmolen,korenmolen,8-kante grondzeiler,1854,6.1994944,52.6429144
De Haarmolen / Molen Agtersmid,Nederland,Staphorst-Halfweg,windmolen,korenmolen,8-kante beltmolen,1854,6.2599439,52.6669946
De Wieker Meule,Nederland,De Wijk,windmolen,korenmolen,8-kante stellingmolen,1829,6.2922178,52.6742848
De Lelie,Nederland,Ommen,windmolen,korenmolen,8-kante stellingmolen,1846,6.4262926,52.5248059
Den Oord,Nederland,Ommen,windmolen,koren- houtzaagmolen,6-kante stellingmolen,1824,6.4262926,52.5248059
De Konijnenbelt,Nederland,Ommen,windmolen,korenmolen,8-kante stellingmolen,1806,6.4262926,52.5248059
De Besthmenermolen,Nederland,Ommen-Besthmen,windmolen,korenmolen,8-kante beltmolen,1862,6.431051,52.5028111
De Leeuw,Nederland,Oude Molen (Bathmen/Lettele),windmolen,korenmolen,ronde stenen stellingmolen,1856,6.2719909,52.2765024
Molen van Berkhout (vh. Koffiemolen),Nederland,Egmond aan den Hoef,windmolen,korenmolen,8-kante beltmolen,1899,4.6531215,52.6209748
Zwartenbergse Molen,Nederland,Etten-Leur,windmolen,poldermolen,ronde stenen grondzeiler,1889,4.6671384,51.5868855
De Toekomst,Nederland,Hoeven,windmolen,korenmolen,ronde stenen beltmolen,1862,4.5839864,51.5791978
De Heimolen,Nederland,Bosschenhoofd (Rucphen),windmolen,korenmolen,ronde stenen beltmolen,1844,4.5423737,51.5608187
Bisschopsmolen,Nederland,Etten-Leur,windmolen,korenmolen,ronde stenen stellingmolen,1744,4.6671384,51.5868855
Hoop Doet Leven,Nederland,Made,windmolen,korenmolen,ronde stenen beltmolen,1867,4.7943492,51.6807586
De Onvermoeide,Nederland,Raamsdonksveer,windmolen,korenmolen,ronde stenen stellingmolen,1890,4.8742288,51.6973443
De Bol,Nederland,Varik,windmolen,korenmolen,ronde stenen stellingmolen,1867,5.368234,51.8231362
De Marsch,Nederland,Lienden,windmolen,poldermolen,ronde stenen grondzeiler,1885,5.5183547,51.9475664
De Zwaan,Nederland,Lienden,windmolen,korenmolen,torenmolen grondzeiler,1644,5.5183547,51.9475664
Braakmolen,Nederland,Goor,windmolen,korenmolen,8-kante stellingmolen,1856,6.5872492,52.2370207
De Korenbloem,Nederland,Haaksbergen,windmolen,korenmolen,8-kante stellingmolen,1798,6.7473399,52.1581512
Sint Nicolaasmolen,Nederland,Denekamp,windmolen,korenmolen,8-kante grondzeiler,1859,7.0061799,52.3753799
Westerveld Möl (vh. Brunninkhuismolen),Nederland,Tilligte,windmolen,korenmolen,8-kante beltmolen,1865,6.9503282,52.4046707
Molen van Oude Hengel,Nederland,Ootmarsum,windmolen,korenmolen,ronde stenen stellingmolen,1872,6.897314,52.4076329
De Mast,Nederland,Vasse,watermolen,korenmolen,watergedreven molen met bovenslagrad,1433,6.831258,52.4347951
Molen van Frans,Nederland,Mander,watermolen,korenmolen,watergedreven molen met bovenslagrad,1711,6.8260297,52.4451854
Molen van Bels,Nederland,Mander,watermolen,korenmolen,watergedreven molen met bovenslagrad,1725,6.8260297,52.4451854
Leemansmolen,Nederland,Vriezenveen,windmolen,korenmolen,8-kante stellingmolen,1862,6.6146301,52.4085238
De Pionier,Nederland,Slagharen,windmolen,korenmolen,8-kante stellingmolen,1859,6.5571307,52.6268548
De Vlijt (vh. Hoop van Zegen),Nederland,Zuidwolde,windmolen,korenmolen,8-kante beltmolen,1878,6.4258818,52.6743159
Windlust,Nederland,Radewijk,windmolen,korenmolen,8-kante beltmolen,1867,6.7106212,52.570246
De Arend,Nederland,Coevorden/Klooster,windmolen,korenmolen,8-kante stellingmolen,1894,6.705095,52.6533298
De Bente,Nederland,Dalen,windmolen,korenmolen,8-kante stellingmolen,1814,6.7567822,52.6994032
Jan Pol,Nederland,Dalen,windmolen,koren- pelmolen,8-kante stellingmolen,1876,6.7567822,52.6994032
Nooit Gedacht,Nederland,Veenoord/Nieuw-Amsterdam,windmolen,korenmolen,8-kante stellingmolen,1916,6.845464,52.7145189
De Heidebloem,Nederland,Erica,windmolen,korenmolen,8-kante stellingmolen,1896,6.9281865,52.7103574
Zeldenrust,Nederland,Zuidbarge,windmolen,korenmolen,8-kante stellingmolen,1857,6.9036324,52.7552632
De Hondsrug,Nederland,Weerdinge,windmolen,korenmolen,8-kante beltmolen,1905,6.9186056,52.8200014
Grenszicht,Nederland,Emmer-Compascuum,windmolen,korenmolen,8-kante stellingmolen,1907,7.0457254,52.8117839
Albertdina,Nederland,Noord-Sleen,windmolen,korenmolen,8-kante grondzeiler,1906,6.8022554,52.7918785
Jantina Hellingmolen,Nederland,Aalden,windmolen,korenmolen,8-kante beltmolen,1891,6.7175711,52.7918073
Molen van Havelte,Nederland,Havelte,windmolen,korenmolen,8-kante stellingmolen,1914,6.23594,52.7712587
De Vlijt,Nederland,Diever,windmolen,korenmolen,8-kante stellingmolen,1882,6.3177419,52.8547376
Windlust,Nederland,Noordwolde,windmolen,korenmolen,8-kante stellingmolen,1859,6.1412468,52.8905767
De Weijert,Nederland,Makkinga,windmolen,korenmolen,8-kante stellingmolen,1925,6.2173245,52.980487
De Arend,Nederland,Zuidland,windmolen,korenmolen,ronde stenen stellingmolen,1844,4.2592753,51.8220118
Molen van 's-Gravenzande,Nederland,'s-Gravenzande,windmolen,korenmolen,8-kante stellingmolen,1908,4.1670315,52.0012836
De Wielewaal,Nederland,Beneden-Leeuwen,windmolen,korenmolen,ronde stenen stellingmolen,1857,5.5178903,51.8823027
Molen van Maasbommel,Nederland,Maasbommel,windmolen,korenmolen,ronde stenen grondzeiler,1740,5.534452,51.8216389
Sint Oda,Nederland,Weert,windmolen,korenmolen,ronde stenen beltmolen,1885,5.7142222,51.2439415
Wilhelmus Hubertus,Nederland,Weert,windmolen,korenmolen,ronde stenen beltmolen,1904,5.7142222,51.2439415
Windlust,Nederland,Roeven,windmolen,korenmolen,ronde stenen beltmolen,1851,5.7512516,51.2683024
De Welvaart,Nederland,Horn,windmolen,korenmolen,ronde stenen beltmolen,1865,5.9472027,51.2100669
Molen van Verbeek,Nederland,Sint Odiliënberg,windmolen,korenmolen,ronde stenen beltmolen,1883,6.0057506,51.1434136
Zeldenrust,Nederland,Thorn,windmolen,korenmolen,ronde stenen grondzeiler,1876,5.8427213,51.1626128
Armenmolen,Nederland,Neeritter,watermolen,korenmolen,watergedreven molen met onderslagrad,1684,5.8030819,51.1645144
Sint Antonius,Nederland,Laar,windmolen,korenmolen,ronde stenen beltmolen,1903,5.706167,51.2756079
Sint Joseph,Nederland,Kreijel-Budschop,windmolen,korenmolen,ronde stenen beltmolen,1840,5.7775108,51.2896065
De Korenbloem,Nederland,Ospel,windmolen,korenmolen,ronde stenen beltmolen,1870,5.7861993,51.2995048
Tolhuys Coornmolen,Nederland,Lobith,windmolen,korenmolen,ronde stenen beltmolen,1888,6.1185933,51.861895
Jacobus,Nederland,Vessem,windmolen,korenmolen,ronde stenen beltmolen,1893,5.2884532,51.4196789
Molen van Hapert,Nederland,Hapert,windmolen,korenmolen,ronde stenen grondzeiler,1898,5.2558944,51.3685373
Zeldenrust,Nederland,Budel,windmolen,korenmolen,ronde stenen beltmolen,1869,5.5763506,51.2741027
Nooit Gedacht,Nederland,Budel,windmolen,korenmolen,ronde stenen stellingmolen,1846,5.5763506,51.2741027
Johanna,Nederland,Huijbergen,windmolen,korenmolen,ronde stenen beltmolen,1862,4.3779637,51.4330637
Wilpermolen,Nederland,Posterenk,windmolen,korenmolen,ronde stenen stellingmolen,1736,6.1164523,52.2132551
De Dorthermolen,Nederland,Dortherhoek / Bathmen,windmolen,korenmolen,8-kante stellingmolen,1798,6.2860997,52.2503032
Windesheimer Molen,Nederland,Windesheim,windmolen,korenmolen,8-kante stellingmolen,1748,6.1317235,52.4482481
De Valk,Nederland,Zalk,windmolen,korenmolen,8-kante stellingmolen,1860,6.0088264,52.5206144
De Huinsermolen,Nederland,Huins,windmolen,poldermolen,8-kante grondzeiler,1829,5.6664817,53.1598876
De Bullemolen,Nederland,Lekkum,windmolen,poldermolen,8-kante grondzeiler,1825,5.8203814,53.2256277
"Ouddeelsmolen (vh. De Swarte Prinsch, De Lytse Geast)",Nederland,Tytsjerk (Tietjerk),windmolen,poldermolen,8-kante grondzeiler,1900,5.9117022,53.2143699
De Puollen / De Poelen,Nederland,Dronrijp,windmolen,poldermolen,8-kante grondzeiler,1850,5.6449476,53.1966063
De Korenaar,Nederland,Sexbierum,windmolen,korenmolen,8-kante stellingmolen,1868,5.4843741,53.2173164
Vrouwbuurstermolen,Nederland,Vrouwenparochie,windmolen,korenmolen,8-kante stellingmolen,1862,5.7030451,53.2800146
De Slagdijkstermolen,Nederland,Oude Leije (Finkum),windmolen,poldermolen,8-kante grondzeiler,1864,5.7613385,53.2813497
De Balkendsterpoldermolen,Nederland,Oude Leije,windmolen,poldermolen,8-kante grondzeiler,1844,5.7278297,53.2879618
De Grote Molen,Nederland,Marrum,windmolen,poldermolen,8-kante grondzeiler,1845,5.8018778,53.322673
De Phenix,Nederland,Marrum,windmolen,poldermolen,8-kante grondzeiler,1917,5.8018778,53.322673
De Hogebeintumermolen,Nederland,Hegebeintum (Hogebeintum),windmolen,poldermolen,8-kante grondzeiler,1860,5.8503137,53.3368943
Genezareth-Kloosterpoldermolen,Nederland,Hallum,windmolen,poldermolen,8-kante grondzeiler,1850,5.784383,53.3051209
Victor,Nederland,Wânswert (Wanswerd),windmolen,poldermolen,8-kante grondzeiler,1867,5.8496066,53.300934
De Zwaluw,Nederland,Burdaard (Birdaard),windmolen,zaag- koren- pelmolen,8-kante stellingmolen,1875,5.8788175,53.2949775
De Olifant,Nederland,Burdaard (Birdaard),windmolen,poldermolen,8-kante grondzeiler,1867,5.8788175,53.2949775
